处理步骤,处理规则,处理前记录数,处理后记录数,影响记录数
删除完全重复行,完全相同的记录不增加信息，存在则删除,5630,5630,0
数值缺失填充 - Tenure,使用总体中位数填补，稳健且不将缺失误解为0,264,0,264
数值缺失填充 - WarehouseToHome,使用总体中位数填补，稳健且不将缺失误解为0,251,0,251
数值缺失填充 - HourSpendOnApp,使用总体中位数填补，稳健且不将缺失误解为0,255,0,255
数值缺失填充 - OrderAmountHikeFromlastYear,使用总体中位数填补，稳健且不将缺失误解为0,265,0,265
数值缺失填充 - CouponUsed,使用总体中位数填补，稳健且不将缺失误解为0,256,0,256
数值缺失填充 - OrderCount,使用总体中位数填补，稳健且不将缺失误解为0,258,0,258
数值缺失填充 - DaySinceLastOrder,使用总体中位数填补，稳健且不将缺失误解为0,307,0,307
类别标准化 - PreferredLoginDevice: Phone → Mobile Phone,同一业务类别统一命名,1231,0,1231
类别标准化 - PreferredPaymentMode: COD → Cash on Delivery,同一业务类别统一命名,365,0,365
类别标准化 - PreferredPaymentMode: CC → Credit Card,同一业务类别统一命名,273,0,273
类别标准化 - PreferedOrderCat: Mobile → Mobile Phone,同一业务类别统一命名,809,0,809
数据类型转换 - Churn,转换为整数类型，适配后续建模分析,5630,5630,5630
数据类型转换 - Complain,转换为整数类型，适配后续建模分析,5630,5630,5630
